id	title	name	birthyear	deathyear	choronym
ITKC_MI_0159A	소재집(穌齋集)	노수신(盧守愼)	1515년(중종 10)	1590년(선조 23)	광주(光州)
ITKC_MI_0160A	임당유고(林塘遺稿)	정유길(鄭惟吉)	1515년(중종 10)	1588년(선조 21)	동래(東萊)
ITKC_MI_0161A	치재유고(耻齋遺稿)	홍인우(洪仁祐)	1515년(중종 10)	1554년(명종 9)	남양(南陽)
ITKC_MI_0162A	이암유고(頤庵遺稿)	송인(宋寅)	1517년(중종 12)	1584년(선조 17)	여산(礪山)
ITKC_MI_0163A	청천당시집(聽天堂詩集)	심수경(沈守慶)	1516년(중종 11)	1599년(선조 32)	풍산(豐山)
ITKC_MI_0164A	소고집(嘯皐集)	박승임(朴承任)	1517년(중종 12)	1586년(선조 19)	반남(潘南)
ITKC_MI_0165A	봉래시집(蓬萊詩集)	양사언(楊士彥)	1517년(중종 12)	1584년(선조 17)	청주(淸州)
ITKC_MI_0166A	토정유고(土亭遺稿)	이지함(李之菡)	1517년(중종 12)	1578년(선조 11)	한산(韓山)
ITKC_MI_0167A	첨모당집(瞻慕堂集)	임운(林芸)	1517년(중종 12)	1572년(선조 5)	은진(恩津)
ITKC_MI_0168A	초당집(草堂集)	허엽(許曄)	1517년(중종 12)	1580년(선조 13)	양천(陽川)
ITKC_MI_0169A	금계집(錦溪集)	황준량(黃俊良)	1517년(중종 12)	1563년(명종 18)	평해(平海)
ITKC_MI_0170A	옥계집(玉溪集)	노진(盧禛)	1518년(중종 13)	1578년(선조 11)	풍천(豐川)
ITKC_MI_0171A	동원집(東園集)	김귀영(金貴榮)	1520년(중종 15)	1594년(선조 27)	상주(尙州)
ITKC_MI_0172A	송천유집(松川遺集)	양응정(梁應鼎)	1519년(중종 14)	1581년(선조 14)	제주(濟州)
ITKC_MI_0173A	주천유고(舟川遺稿)	강유선(康惟善)	1520년(중종 15)	1549년(명종 4)	신천(信川)
ITKC_MI_0174A	습재집(習齋集)	권벽(權擘)	1520년(중종 15)	1593년(선조 26)	안동(安東)
ITKC_MI_0175A	덕계집(德溪集)	오건(吳健)	1521년(중종 16)	1574년(선조 7)	함양(咸陽)
ITKC_MI_0176A	개암집(介庵集)	강익(姜翼)	1523년(중종 18)	1567년(명종 22)	진주(晉州)
ITKC_MI_0177A	고청유고(孤靑遺稾)	서기(徐起)	1523년(중종 18)	1591년(선조 24)	이천(利川)
ITKC_MI_0178A	사암집(思菴集)	박순(朴淳)	1523년(중종 18)	1589년(선조 22)	충주(忠州)
ITKC_MI_0179A	월천집(月川集)	조목(趙穆)	1524년(중종 19)	1606년(선조 39)	횡성(橫城)
ITKC_MI_0180A	물암집(勿巖集)	김륭(金隆)	1549년(명종 4)	1594년(선조 27)	함창(咸昌)
ITKC_MI_0181A	백담집(栢潭集)	구봉령(具鳳齡)	1526년(중종 21)	1586년(선조 19)	능성(綾城)
ITKC_MI_0182A	옥동집(玉洞集)	문익성(文益成)	1526년(중종 21)	1584년(선조 17)	남평(南平)
ITKC_MI_0183A	죽천집(竹川集)	박광전(朴光前)	1526년(중종 21)	1597년(선조 30)	진원(珍原)
ITKC_MI_0184A	약포집(藥圃集)	정탁(鄭琢)	1526년(중종 21)	1605년(선조 38)	청주(淸州)
ITKC_MI_0185A	고봉집(高峯集)	기대승(奇大升)	1527년(중종 22)	1572년(선조 5)	행주(幸州)
ITKC_MI_0186A	우득록(愚得錄)	정개청(鄭介淸)	1529년(중종 24)	1590년(선조 23)	고성(固城)
ITKC_MI_0187A	팔곡집(八谷集)	구사맹(具思孟)	1531년(중종 26)	1604년(선조 37)	능성(綾城)
ITKC_MI_0188A	설월당집(雪月堂集)	김부윤(金富倫)	1531년(중종 26)	1598년(선조 31)	광산(光山)
ITKC_MI_0189A	송암집(松巖集)	권호문(權好文)	1532년(중종 27)	1587년(선조 20)	안동(安東)
ITKC_MI_0190A	성암유고(省菴遺稿)	김효원(金孝元)	1542년(중종 37)	1590년(선조 23)	선산(善山)
ITKC_MI_0191A	백록유고(白麓遺稿)	신응시(辛應時)	1532년(중종 27)	1585년(선조 18)	영월(寧越)
ITKC_MI_0192A	지천집(芝川集)	황정욱(黃廷彧)	1532년(중종 27)	1607년(선조 40)	장수(長水)
ITKC_MI_0193A	오음유고(梧陰遺稿)	윤두수(尹斗壽)	1533년(중종 28)	1601년(선조 34)	해평(海平)
ITKC_MI_0194A	제봉집(霽峯集)	고경명(高敬命)	1533년(중종 28)	1592년(선조 25)	장흥(長興)
ITKC_MI_0195A	문봉집(文峯集)	정유일(鄭惟一)	1533년(중종 28)	1576년(선조 9)	동래(東萊)
ITKC_MI_0196A	초간집(草澗集)	권문해(權文海)	1534년(중종 29)	1591년(선조 24)	예천(醴泉)
ITKC_MI_0197A	구봉집(龜峯集)	송익필(宋翼弼)	1534년(중종 29)	1599년(선조 32)	여산(礪山)
